"Ω√¡°",KOSPI
"2004.01",1.07
"2004.02",1.08
"2004.03",1.11
"2004.04",1.10
"2004.05",1.02
"2004.06",1.01
"2004.07",0.96
"2004.08",1.03
"2004.09",1.08
"2004.10",1.08
"2004.11",1.13
"2004.12",1.16
"2005.01",1.23
"2005.02",1.33
"2005.03",1.27
"2005.04",1.07
"2005.05",1.14
"2005.06",1.18
"2005.07",1.30
"2005.08",1.27
"2005.09",1.43
"2005.10",1.35
"2005.11",1.53
"2005.12",1.63
"2006.01",1.65
"2006.02",1.64
"2006.03",1.63
"2006.04",1.46
"2006.05",1.36
"2006.06",1.33
"2006.07",1.33
"2006.08",1.38
"2006.09",1.40
"2006.10",1.40
"2006.11",1.46
"2006.12",1.46
"2007.01",1.39
"2007.02",1.45
"2007.03",1.48
"2007.04",1.42
"2007.05",1.57
"2007.06",1.61
"2007.07",1.79
"2007.08",1.73
"2007.09",1.80
"2007.10",1.90
"2007.11",1.76
"2007.12",1.75
"2008.01",1.51
"2008.02",1.58
"2008.03",1.59
"2008.04",1.52
"2008.05",1.54
"2008.06",1.40
"2008.07",1.33
"2008.08",1.22
"2008.09",1.20
"2008.10",0.93
"2008.11",0.90
"2008.12",0.94
"2009.01",0.97
"2009.02",0.89
"2009.03",1.01
"2009.04",1.15
"2009.05",1.11
"2009.06",1.10
"2009.07",1.23
"2009.08",1.26
"2009.09",1.32
"2009.10",1.25
"2009.11",1.23
"2009.12",1.34
"2010.01",1.28
"2010.02",1.28
"2010.03",1.36
"2010.04",1.27
"2010.05",1.22
"2010.06",1.26
"2010.07",1.29
"2010.08",1.28
"2010.09",1.37
"2010.10",1.38
"2010.11",1.39
"2010.12",1.50
"2011.01",1.52
"2011.02",1.43
"2011.03",1.55
"2011.04",1.44
"2011.05",1.41
"2011.06",1.38
"2011.07",1.39
"2011.08",1.22
"2011.09",1.15
"2011.10",1.24
"2011.11",1.20
"2011.12",1.19
"2012.01",1.27
"2012.02",1.33
"2012.03",1.31
"2012.04",1.25
"2012.05",1.16
"2012.06",1.17
"2012.07",1.18
"2012.08",1.19
"2012.09",1.25
"2012.10",1.19
"2012.11",1.21
"2012.12",1.25
"2013.01",1.23
"2013.02",1.26
"2013.03",1.25
"2013.04",1.17
"2013.05",1.19
"2013.06",1.11
"2013.07",1.13
"2013.08",1.14
"2013.09",1.18
"2013.10",1.20
"2013.11",1.22
"2013.12",1.20
"2014.01",1.15
"2014.02",1.17
"2014.03",1.18
"2014.04",1.09
"2014.05",1.14
"2014.06",1.14
"2014.07",1.18
"2014.08",1.17
"2014.09",1.15
"2014.10",1.11
"2014.11",1.14
"2014.12",1.11
"2015.01",1.13
"2015.02",1.15
"2015.03",1.19
"2015.04",1.24
"2015.05",1.17
"2015.06",1.14
"2015.07",1.12
"2015.08",1.08
"2015.09",1.10
"2015.10",1.14
"2015.11",1.12
"2015.12",1.10
"2016.01",1.07
"2016.02",1.08
"2016.03",1.12
"2016.04",1.12
"2016.05",1.05
"2016.06",1.04
"2016.07",1.07
"2016.08",1.08
"2016.09",1.08
"2016.10",0.99
"2016.11",0.98
"2016.12",1.00
"2017.01",1.02
"2017.02",1.03
"2017.03",1.06
"2017.04",1.08
"2017.05",1.12
"2017.06",1.14
"2017.07",1.15
"2017.08",1.13
"2017.09",1.10
"2017.10",1.16
"2017.11",1.14
"2017.12",1.11
"2018.01",1.15
"2018.02",1.11
"2018.03",1.12
"2018.04",1.16
"2018.05",1.11
"2018.06",1.05
"2018.07",1.03
"2018.08",1.04
"2018.09",1.03
"2018.10",0.89
"2018.11",0.92
"2018.12",0.87
"2019.01",0.94
"2019.02",0.94
"2019.03",0.92
"2019.04",0.95
"2019.05",0.87
"2019.06",0.90
"2019.07",0.85
"2019.08",0.83
"2019.09",0.85
"2019.10",0.86
"2019.11",0.86
"2019.12",0.89
"2020.01",0.86
"2020.02",0.81
"2020.03",0.71
"2020.04",0.79
"2020.05",0.83
"2020.06",0.87
"2020.07",0.93
"2020.08",0.97
"2020.09",0.95
"2020.10",0.93
"2020.11",1.06
"2020.12",1.16
"2021.01",1.20
"2021.02",1.22
"2021.03",1.24
"2021.04",1.28
"2021.05",1.29
"2021.06",1.30
"2021.07",1.27
"2021.08",1.30
"2021.09",1.21
"2021.10",1.17
"2021.11",1.13
"2021.12",1.14
"2022.01",1.08
"2022.02",1.10
"2022.03",1.12
"2022.04",1.10
"2022.05",1.08
"2022.06",0.92
"2022.07",0.97
"2022.08",0.98
"2022.09",0.83
"2022.10",0.89
"2022.11",0.96
"2022.12",0.84
"2023.01",0.91
"2023.02",0.91
"2023.03",0.93
"2023.04",0.94
