"Ω√¡°",KOSPI
"2004.01",10.72
"2004.02",10.94
"2004.03",11.19
"2004.04",16.76
"2004.05",15.40
"2004.06",14.67
"2004.07",13.00
"2004.08",13.96
"2004.09",14.60
"2004.10",14.59
"2004.11",15.48
"2004.12",15.84
"2005.01",16.82
"2005.02",18.26
"2005.03",17.49
"2005.04",7.37
"2005.05",7.84
"2005.06",8.15
"2005.07",8.89
"2005.08",8.68
"2005.09",9.76
"2005.10",9.24
"2005.11",10.16
"2005.12",10.98
"2006.01",11.13
"2006.02",11.10
"2006.03",11.00
"2006.04",11.70
"2006.05",10.85
"2006.06",10.68
"2006.07",10.39
"2006.08",10.82
"2006.09",10.87
"2006.10",10.82
"2006.11",11.35
"2006.12",11.40
"2007.01",10.82
"2007.02",11.30
"2007.03",11.62
"2007.04",13.21
"2007.05",14.47
"2007.06",14.90
"2007.07",16.88
"2007.08",16.35
"2007.09",16.99
"2007.10",18.22
"2007.11",16.89
"2007.12",16.84
"2008.01",14.48
"2008.02",15.23
"2008.03",15.39
"2008.04",14.47
"2008.05",14.69
"2008.06",13.31
"2008.07",12.67
"2008.08",11.46
"2008.09",11.25
"2008.10",8.84
"2008.11",8.57
"2008.12",8.99
"2009.01",9.26
"2009.02",8.47
"2009.03",9.01
"2009.04",10.93
"2009.05",18.54
"2009.06",18.39
"2009.07",20.55
"2009.08",22.08
"2009.09",23.13
"2009.10",21.80
"2009.11",21.47
"2009.12",23.68
"2010.01",22.52
"2010.02",22.72
"2010.03",24.35
"2010.04",15.40
"2010.05",14.84
"2010.06",15.17
"2010.07",15.01
"2010.08",14.94
"2010.09",16.11
"2010.10",16.22
"2010.11",16.47
"2010.12",17.80
"2011.01",17.92
"2011.02",16.76
"2011.03",18.39
"2011.04",13.23
"2011.05",12.98
"2011.06",12.76
"2011.07",12.84
"2011.08",11.16
"2011.09",10.48
"2011.10",11.36
"2011.11",11.01
"2011.12",10.90
"2012.01",11.72
"2012.02",12.16
"2012.03",12.69
"2012.04",12.95
"2012.05",12.02
"2012.06",12.10
"2012.07",12.19
"2012.08",12.28
"2012.09",12.86
"2012.10",12.28
"2012.11",12.50
"2012.12",12.92
"2013.01",12.73
"2013.02",13.29
"2013.03",13.14
"2013.04",13.81
"2013.05",14.10
"2013.06",13.05
"2013.07",13.20
"2013.08",13.16
"2013.09",13.76
"2013.10",14.02
"2013.11",15.21
"2013.12",14.95
"2014.01",14.60
"2014.02",14.94
"2014.03",14.78
"2014.04",15.15
"2014.05",15.51
"2014.06",15.74
"2014.07",16.20
"2014.08",16.18
"2014.09",15.80
"2014.10",15.37
"2014.11",15.63
"2014.12",15.32
"2015.01",15.84
"2015.02",16.99
"2015.03",16.98
"2015.04",17.73
"2015.05",17.23
"2015.06",16.87
"2015.07",15.84
"2015.08",14.93
"2015.09",15.12
"2015.10",15.65
"2015.11",15.36
"2015.12",15.07
"2016.01",14.70
"2016.02",15.63
"2016.03",16.20
"2016.04",16.21
"2016.05",13.91
"2016.06",13.83
"2016.07",14.19
"2016.08",14.32
"2016.09",14.51
"2016.10",13.03
"2016.11",12.74
"2016.12",13.92
"2017.01",14.22
"2017.02",14.38
"2017.03",14.73
"2017.04",15.02
"2017.05",15.45
"2017.06",14.46
"2017.07",14.56
"2017.08",14.32
"2017.09",13.58
"2017.10",14.34
"2017.11",14.06
"2017.12",12.99
"2018.01",13.50
"2018.02",13.02
"2018.03",13.10
"2018.04",13.50
"2018.05",11.61
"2018.06",11.05
"2018.07",10.89
"2018.08",11.01
"2018.09",11.24
"2018.10",9.74
"2018.11",10.07
"2018.12",9.58
"2019.01",10.36
"2019.02",10.38
"2019.03",10.13
"2019.04",10.43
"2019.05",10.59
"2019.06",12.32
"2019.07",11.71
"2019.08",11.38
"2019.09",14.09
"2019.10",14.23
"2019.11",14.27
"2019.12",18.20
"2020.01",17.56
"2020.02",16.50
"2020.03",14.66
"2020.04",16.26
"2020.05",19.62
"2020.06",24.18
"2020.07",26.04
"2020.08",26.70
"2020.09",27.79
"2020.10",27.23
"2020.11",31.17
"2020.12",29.47
"2021.01",30.59
"2021.02",30.98
"2021.03",31.67
"2021.04",32.60
"2021.05",26.69
"2021.06",18.38
"2021.07",17.85
"2021.08",18.20
"2021.09",14.72
"2021.10",14.25
"2021.11",13.77
"2021.12",12.72
"2022.01",12.14
"2022.02",12.32
"2022.03",12.58
"2022.04",12.30
"2022.05",11.12
"2022.06",10.17
"2022.07",10.69
"2022.08",10.80
"2022.09",9.26
"2022.10",9.87
"2022.11",10.64
"2022.12",10.76
"2023.01",11.69
"2023.02",11.66
"2023.03",11.97
"2023.04",12.14
