date,number
September 2005,50.90
October 2005,50.10
November 2005,49.80
December 2005,50.10
January 2006,50.20
February 2006,50.70
March 2006,51.00
April 2006,52.70
May 2006,52.80
June 2006,52.90
July 2006,53.00
August 2006,52.60
September 2006,52.40
October 2006,52.10
November 2006,53.00
December 2006,52.40
January 2007,52.00
February 2007,53.00
March 2007,52.30
April 2007,53.30
May 2007,54.10
June 2007,55.00
July 2007,53.20
August 2007,53.40
September 2007,55.00
October 2007,55.20
November 2007,52.80
December 2007,53.30
January 2008,53.20
February 2008,52.80
March 2008,54.40
April 2008,55.40
May 2008,54.70
June 2008,53.30
July 2008,53.30
August 2008,49.20
September 2008,47.70
October 2008,45.20
November 2008,40.90
December 2008,41.20
January 2009,42.20
February 2009,45.10
March 2009,44.80
April 2009,50.10
May 2009,51.20
June 2009,51.80
July 2009,52.80
August 2009,55.10
September 2009,55.00
October 2009,55.40
November 2009,55.70
December 2009,56.10
January 2010,57.40
February 2010,55.80
March 2010,57.00
April 2010,55.20
May 2010,52.70
June 2010,50.40
July 2010,49.40
August 2010,51.90
September 2010,52.90
October 2010,54.80
November 2010,55.30
December 2010,54.40
January 2011,54.50
February 2011,51.70
March 2011,51.80
April 2011,51.80
May 2011,51.60
June 2011,50.10
July 2011,49.30
August 2011,49.90
September 2011,49.90
October 2011,51.00
November 2011,47.70
December 2011,48.70
January 2012,48.80
February 2012,49.60
March 2012,48.30
April 2012,49.30
May 2012,48.40
June 2012,48.20
July 2012,49.30
August 2012,47.60
September 2012,47.90
October 2012,49.50
November 2012,50.50
December 2012,51.50
January 2013,52.30
February 2013,50.40
March 2013,51.60
April 2013,50.40
May 2013,49.20
June 2013,48.20
July 2013,47.70
August 2013,50.10
September 2013,50.20
October 2013,50.90
November 2013,50.80
December 2013,50.50
January 2014,49.50
February 2014,48.50
March 2014,48.00
April 2014,48.10
May 2014,49.70
June 2014,50.70
July 2014,51.70
August 2014,50.20
September 2014,50.50
October 2014,50.40
November 2014,50.00
December 2014,49.50
January 2015,49.70
February 2015,50.70
March 2015,49.60
April 2015,48.90
May 2015,49.20
June 2015,49.90
July 2015,47.80
August 2015,49.70
September 2015,47.20
October 2015,48.30
November 2015,48.60
December 2015,48.20
January 2016,48.40
February 2016,48.00
March 2016,49.70
April 2016,49.40
May 2016,49.20
June 2016,48.60
July 2016,50.60
August 2016,50.00
September 2016,50.10
October 2016,51.20
November 2016,50.90
December 2016,51.90
January 2017,51.00
February 2017,51.70
March 2017,51.20
April 2017,50.30
May 2017,49.60
June 2017,50.40
July 2017,51.10
August 2017,51.60
September 2017,51.00
October 2017,51.00
November 2017,50.80
December 2017,51.50
January 2018,51.50
February 2018,51.60
March 2018,51.00
April 2018,51.10
May 2018,51.10
June 2018,51.00
July 2018,50.80
August 2018,50.60
September 2018,50.00
October 2018,50.10
November 2018,50.20
December 2018,49.70
January 2019,48.30
February 2019,49.90
March 2019,50.20
April 2019,50.20
May 2019,50.20
June 2019,49.40
July 2019,49.90
August 2019,50.40
September 2019,51.40
October 2019,51.70
November 2019,51.80
December 2019,51.50
January 2020,51.10
February 2020,40.30
March 2020,50.10
April 2020,49.40
May 2020,50.70
June 2020,51.20
July 2020,52.80
August 2020,53.10
September 2020,53.00
October 2020,53.60
November 2020,54.90
December 2020,53.00
January 2021,51.50
February 2021,50.90
March 2021,50.60
April 2021,51.90
May 2021,52.00
June 2021,51.30
July 2021,50.30
August 2021,49.20
September 2021,50.00
October 2021,50.60
November 2021,49.90
December 2021,50.90
January 2022,49.10
February 2022,50.40
March 2022,48.10
April 2022,46.00
May 2022,48.10
June 2022,51.70
July 2022,50.40
August 2022,49.50
September 2022,48.10
October 2022,49.20
November 2022,49.40
December 2022,49.00
January 2023,49.20
February 2023,51.60
March 2023,50.00
April 2023,49.50
May 2023,50.90
