date,number
February 2000,35.80
March 2000,23.80
April 2000,17.60
May 2000,28.10
June 2000,19.00
July 2000,23.00
August 2000,30.10
September 2000,26.50
October 2000,13.40
November 2000,5.60
December 2000,0.10
January 2001,4.00
February 2001,5.30
March 2001,-2.10
April 2001,-10.40
May 2001,-9.10
June 2001,-15.20
July 2001,-21.20
August 2001,-20.40
September 2001,-17.70
October 2001,-20.70
November 2001,-17.60
December 2001,-20.40
January 2002,-10.00
February 2002,-17.50
March 2002,-6.20
April 2002,8.80
May 2002,6.50
June 2002,-0.30
July 2002,17.60
August 2002,18.60
September 2002,11.70
October 2002,24.80
November 2002,23.10
December 2002,26.10
January 2003,25.80
February 2003,21.00
March 2003,16.10
April 2003,19.20
May 2003,3.50
June 2003,21.40
July 2003,15.20
August 2003,10.10
September 2003,22.40
October 2003,25.50
November 2003,20.00
December 2003,31.30
January 2004,32.60
February 2004,43.50
March 2004,37.70
April 2004,36.70
May 2004,42.00
June 2004,38.30
July 2004,36.10
August 2004,28.80
September 2004,22.40
October 2004,19.70
November 2004,26.50
December 2004,17.60
January 2005,18.30
February 2005,6.60
March 2005,13.10
April 2005,6.50
May 2005,11.00
June 2005,9.50
July 2005,10.60
August 2005,17.90
September 2005,17.70
October 2005,11.90
November 2005,11.90
December 2005,10.50
January 2006,3.60
February 2006,16.60
March 2006,12.10
April 2006,11.90
May 2006,20.80
June 2006,17.90
July 2006,10.90
August 2006,16.90
September 2006,20.90
October 2006,10.50
November 2006,18.50
December 2006,12.30
January 2007,20.80
February 2007,10.30
March 2007,13.20
April 2007,17.00
May 2007,11.10
June 2007,14.50
July 2007,17.20
August 2007,13.60
September 2007,-1.10
October 2007,22.90
November 2007,17.00
December 2007,14.80
January 2008,14.90
February 2008,18.90
March 2008,18.40
April 2008,26.40
May 2008,26.90
June 2008,16.40
July 2008,35.60
August 2008,18.10
September 2008,27.60
October 2008,7.80
November 2008,-19.50
December 2008,-17.90
January 2009,-34.50
February 2009,-18.50
March 2009,-22.50
April 2009,-19.90
May 2009,-29.40
June 2009,-13.60
July 2009,-22.10
August 2009,-20.90
September 2009,-9.40
October 2009,-8.50
November 2009,17.90
December 2009,32.80
January 2010,45.40
February 2010,30.10
March 2010,33.80
April 2010,29.60
May 2010,39.80
June 2010,30.50
July 2010,26.70
August 2010,26.00
September 2010,16.20
October 2010,27.60
November 2010,21.40
December 2010,22.60
January 2011,44.70
February 2011,16.40
March 2011,28.80
April 2011,23.50
May 2011,21.70
June 2011,11.10
July 2011,21.10
August 2011,25.50
September 2011,18.00
October 2011,7.60
November 2011,11.50
December 2011,8.20
January 2012,-7.30
February 2012,20.40
March 2012,-1.50
April 2012,-5.00
May 2012,-1.00
June 2012,0.90
July 2012,-8.70
August 2012,-6.00
September 2012,-2.40
October 2012,1.00
November 2012,3.90
December 2012,-6.00
January 2013,10.90
February 2013,-8.60
March 2013,0.00
April 2013,0.10
May 2013,3.10
June 2013,-1.00
July 2013,2.60
August 2013,7.60
September 2013,-1.70
October 2013,7.20
November 2013,0.20
December 2013,6.90
January 2014,-0.20
February 2014,1.40
March 2014,3.70
April 2014,8.90
May 2014,-1.50
June 2014,2.40
July 2014,5.40
August 2014,-0.20
September 2014,6.80
October 2014,2.30
November 2014,-2.10
December 2014,3.60
January 2015,-0.70
February 2015,-3.30
March 2015,-4.30
April 2015,-8.00
May 2015,-10.90
June 2015,-2.40
July 2015,-3.40
August 2015,-14.90
September 2015,-8.40
October 2015,-15.90
November 2015,-4.80
December 2015,-14.10
January 2016,-18.80
February 2016,-12.20
March 2016,-8.10
April 2016,-11.20
May 2016,-6.00
June 2016,-2.70
July 2016,-10.30
August 2016,2.60
September 2016,-5.90
October 2016,-3.20
November 2016,2.50
December 2016,6.40
January 2017,6.40
February 2017,20.20
March 2017,13.70
April 2017,24.20
May 2017,13.30
June 2017,13.60
July 2017,19.50
August 2017,17.30
September 2017,35.00
October 2017,7.10
November 2017,9.50
December 2017,8.90
January 2018,22.30
February 2018,3.10
March 2018,5.50
April 2018,-2.00
May 2018,12.80
June 2018,-0.40
July 2018,6.10
August 2018,8.70
September 2018,-8.10
October 2018,22.50
November 2018,3.60
December 2018,-5.80
January 2019,-6.20
February 2019,-11.30
March 2019,-8.40
April 2019,-2.10
May 2019,-9.80
June 2019,-13.80
July 2019,-11.10
August 2019,-14.00
September 2019,-11.80
October 2019,-14.90
November 2019,-14.40
December 2019,-6.10
January 2020,-6.60
February 2020,3.60
March 2020,-1.80
April 2020,-25.60
May 2020,-23.70
June 2020,-10.90
July 2020,-7.10
August 2020,-10.30
September 2020,7.20
October 2020,-3.80
November 2020,4.10
December 2020,12.60
January 2021,11.40
February 2021,9.30
March 2021,16.30
April 2021,41.20
May 2021,45.60
June 2021,39.70
July 2021,29.60
August 2021,34.70
September 2021,16.90
October 2021,24.20
November 2021,31.90
December 2021,18.30
January 2022,15.50
February 2022,21.10
March 2022,18.80
April 2022,12.90
May 2022,21.40
June 2022,5.30
July 2022,8.60
August 2022,6.50
September 2022,2.30
October 2022,-5.80
November 2022,-14.20
December 2022,-9.60
January 2023,-16.40
February 2023,-7.60
March 2023,-13.80
April 2023,-14.30
May 2023,-15.20
