date,number
January 1990,47.20
February 1990,49.10
March 1990,49.90
April 1990,50.00
May 1990,49.50
June 1990,49.20
July 1990,46.60
August 1990,46.10
September 1990,44.50
October 1990,43.20
November 1990,41.30
December 1990,40.80
January 1991,39.20
February 1991,39.40
March 1991,40.70
April 1991,42.80
May 1991,44.50
June 1991,50.30
July 1991,50.60
August 1991,52.90
September 1991,54.90
October 1991,53.10
November 1991,49.50
December 1991,46.80
January 1992,47.30
February 1992,52.70
March 1992,54.60
April 1992,52.60
May 1992,55.70
June 1992,53.60
July 1992,53.90
August 1992,53.40
September 1992,49.70
October 1992,50.30
November 1992,53.60
December 1992,54.20
January 1993,55.80
February 1993,55.20
March 1993,53.50
April 1993,50.20
May 1993,51.20
June 1993,49.60
July 1993,50.20
August 1993,50.70
September 1993,50.80
October 1993,53.40
November 1993,53.80
December 1993,55.60
January 1994,56.00
February 1994,56.50
March 1994,56.90
April 1994,57.40
May 1994,58.20
June 1994,58.80
July 1994,58.50
August 1994,58.00
September 1994,59.00
October 1994,59.40
November 1994,59.20
December 1994,56.10
January 1995,57.40
February 1995,55.10
March 1995,52.10
April 1995,51.50
May 1995,46.70
June 1995,45.90
July 1995,50.70
August 1995,47.10
September 1995,48.10
October 1995,46.70
November 1995,45.90
December 1995,46.20
January 1996,45.50
February 1996,45.90
March 1996,46.90
April 1996,49.30
May 1996,49.10
June 1996,53.60
July 1996,49.70
August 1996,51.60
September 1996,51.10
October 1996,50.50
November 1996,53.00
December 1996,55.20
January 1997,53.80
February 1997,53.10
March 1997,53.80
April 1997,53.70
May 1997,56.10
June 1997,54.90
July 1997,57.70
August 1997,56.30
September 1997,53.90
October 1997,56.40
November 1997,55.70
December 1997,54.50
January 1998,53.80
February 1998,52.90
March 1998,52.90
April 1998,52.20
May 1998,50.90
June 1998,48.90
July 1998,49.20
August 1998,49.30
September 1998,48.70
October 1998,48.70
November 1998,48.20
December 1998,46.80
January 1999,50.60
February 1999,51.70
March 1999,52.40
April 1999,52.30
May 1999,54.30
June 1999,55.80
July 1999,53.60
August 1999,54.80
September 1999,57.00
October 1999,57.20
November 1999,58.10
December 1999,57.80
January 2000,56.70
February 2000,55.80
March 2000,54.90
April 2000,54.70
May 2000,53.20
June 2000,51.40
July 2000,52.50
August 2000,49.90
