,회사명,거래소코드,회계년도,정상영업이익증가율,순이익증가율,1주당순이익,부채비율,매출액정상영업이익률,PER,PBR,PCR
0,(주)DB하이텍,990,2007/12,0.0,0.0,-1151.0,319.3,-2.62,0.0,0.75,0.0
1,(주)DB하이텍,990,2008/12,0.0,0.0,-8904.0,342.61,1.8,0.0,0.35,0.0
2,(주)DB하이텍,990,2009/12,0.0,0.0,-5481.0,348.79,-11.01,0.0,0.505,3.13
3,(주)DB하이텍,990,2010/12,0.0,0.0,-5072.0,247.03,-61.04,0.0,1.2149999999999999,6.58
4,(주)DB하이텍,990,2011/12,0.0,0.0,-2541.0,289.22,-7.81,0.0,2.435,8.705
5,(주)DB하이텍,990,2012/12,0.0,0.0,-780.0,298.0,-2.64,0.0,1.9200000000000002,5.575
6,(주)DB하이텍,990,2013/12,0.0,0.0,-2066.0,416.9,-1.95,0.0,2.52,10.870000000000001
7,(주)DB하이텍,990,2014/12,0.0,0.0,-1915.0,715.95,8.03,0.0,3.635,5.695
8,(주)DB하이텍,990,2015/12,174.29,0.0,3112.0,287.57,18.75,4.105,2.15,3.48
9,(주)DB하이텍,990,2016/12,37.98,-30.29,2042.0,188.6,22.3,8.26,2.145,2.945
10,(주)DB하이텍,990,2017/12,-16.95,24.71,2546.0,118.07,21.07,10.395,1.9100000000000001,4.245
11,(주)DB하이텍,990,2018/12,-21.09,-21.19,2002.0,91.0,16.88,7.21,1.36,3.755
12,(주)DB하이텍,990,2019/12,60.45,20.51,2410.0,68.91,22.45,7.135,1.425,5.375
13,(주)DB하이텍,990,2020/12,32.02,58.67,3822.0,48.33,25.57,8.975,1.96,4.79
14,(주)DB하이텍,990,2021/12,66.76,90.87,7292.0,40.13,32.86,8.98,2.665,7.275
15,(주)DB하이텍,990,2022/12,92.62,76.35,12858.0,29.57,45.89,4.79,1.71,3.675
17,(주)HJ중공업,97230,2008/12,0.0,0.0,1331.0,282.03,10.75,31.71,0.955,0.0
18,(주)HJ중공업,97230,2009/12,6.7,-18.02,1081.0,292.8,10.61,29.270000000000003,0.735,0.0
19,(주)HJ중공업,97230,2010/12,-69.33,0.0,-1512.0,284.77,3.78,0.0,0.84,6.695
20,(주)HJ중공업,97230,2011/12,-9.82,0.0,-2007.0,276.93,3.73,0.0,0.7549999999999999,0.0
21,(주)HJ중공업,97230,2012/12,-50.99,0.0,-1095.0,283.85,2.08,63.86,0.45,0.0
22,(주)HJ중공업,97230,2013/12,0.0,0.0,-2931.0,307.77,-2.75,0.0,0.39,0.0
23,(주)HJ중공업,97230,2014/12,0.0,0.0,-3674.0,311.31,-5.75,0.0,0.44000000000000006,0.0
24,(주)HJ중공업,97230,2015/12,0.0,0.0,-2551.0,332.17,-2.55,0.0,0.405,5.065
25,(주)HJ중공업,97230,2016/12,0.0,0.0,-3216.0,487.19,-2.82,0.0,0.44000000000000006,5.045
26,(주)HJ중공업,97230,2017/12,0.0,0.0,-2622.0,628.81,-4.76,0.0,0.765,1.16
27,(주)HJ중공업,97230,2018/12,0.0,0.0,0.0,0.0,3.63,0.0,0.0,1.645
28,(주)HJ중공업,97230,2019/12,35.93,0.0,5185.0,908.28,5.15,0.0,1.9749999999999999,3.4400000000000004
29,(주)HJ중공업,97230,2020/12,-38.42,-74.39,940.0,585.57,3.04,7.53,1.81,2.28
30,(주)HJ중공업,97230,2021/12,0.0,0.0,-1679.0,452.13,-6.39,0.0,1.665,0.0
31,(주)HJ중공업,97230,2022/12,0.0,0.0,-602.0,566.95,0.37,0.0,1.27,5.8100000000000005
32,(주)MH에탄올,23150,2007/12,0.0,0.0,496.0,71.65,18.07,13.48,1.4149999999999998,15.85
33,(주)MH에탄올,23150,2008/12,0.0,0.0,-923.0,226.64,-3.44,0.0,1.2850000000000001,4.2700000000000005
34,(주)MH에탄올,23150,2009/12,0.0,0.0,188.0,191.56,7.63,33.59,0.985,7.529999999999999
35,(주)MH에탄올,23150,2010/12,-29.87,0.0,-225.0,189.26,6.26,6.415,0.555,4.94
36,(주)MH에탄올,23150,2011/12,-82.51,0.0,-611.0,214.54,1.35,6.085,0.36,4.85
37,(주)MH에탄올,23150,2012/12,803.71,0.0,59.0,238.69,9.12,11.690000000000001,0.51,10.78
38,(주)MH에탄올,23150,2013/12,-44.79,1640.29,1022.0,182.66,4.84,0.0,0.515,4.295
39,(주)MH에탄올,23150,2014/12,190.55,0.0,-26.0,62.03,17.85,11.215,1.02,10.105
40,(주)MH에탄올,23150,2015/12,26.84,0.0,1063.0,36.47,22.01,11.385000000000002,1.5950000000000002,6.6
41,(주)MH에탄올,23150,2016/12,7.05,4.71,1129.0,13.77,24.28,6.965,0.93,4.63
42,(주)MH에탄올,23150,2017/12,-31.65,-17.16,942.0,368.17,15.62,8.875,0.845,4.87
43,(주)MH에탄올,23150,2018/12,-84.87,-108.83,-87.0,380.62,1.69,6.4350000000000005,0.645,6.325
44,(주)MH에탄올,23150,2019/12,537.44,0.0,-79.0,468.69,9.68,0.0,0.81,7.14
45,(주)MH에탄올,23150,2020/12,101.58,0.0,1049.0,459.13,16.67,62.69,1.32,9.49
46,(주)MH에탄올,23150,2021/12,47.86,-13.4,908.0,432.99,22.86,20.24,1.82,49.24
47,(주)MH에탄올,23150,2022/12,-6.04,-15.66,766.0,369.03,19.8,13.5,1.28,0.0
49,(주)SH에너지화학,2360,2007/12,0.0,0.0,256.0,87.68,1.46,30.735,1.325,62.150000000000006
50,(주)SH에너지화학,2360,2008/12,0.0,0.0,-104.0,81.23,-5.69,0.0,7.8,80.65
51,(주)SH에너지화학,2360,2009/12,0.0,0.0,41.0,43.21,4.21,14.899999999999999,0.97,13.35
52,(주)SH에너지화학,2360,2010/12,0.0,0.0,-58.6,55.41,-4.51,0.0,0.905,90.36500000000001
53,(주)SH에너지화학,2360,2011/12,0.0,0.0,18.6,60.5,2.41,11.54,0.575,5.22
54,(주)SH에너지화학,2360,2012/12,-47.6,-81.28,3.5,59.82,1.13,97.03999999999999,1.6400000000000001,288.2
55,(주)SH에너지화학,2360,2013/12,194.26,1146.78,43.5,58.75,2.77,24.045,1.7399999999999998,15.52
56,(주)SH에너지화학,2360,2014/12,231.12,238.32,147.2,31.46,9.21,10.09,2.045,6.49
57,(주)SH에너지화학,2360,2015/12,7.89,-22.92,113.4,26.05,10.6,16.335,2.445,8.405
58,(주)SH에너지화학,2360,2016/12,5.02,42.44,161.6,19.6,11.04,10.465,1.92,15.879999999999999
59,(주)SH에너지화학,2360,2017/12,-41.16,-46.61,86.3,16.36,7.54,19.75,1.755,10.795
60,(주)SH에너지화학,2360,2018/12,-85.19,-75.89,20.8,16.17,1.14,53.769999999999996,1.48,34.72
61,(주)SH에너지화학,2360,2019/12,-249.05,-223.7,-25.8,24.66,-2.22,0.0,1.385,9.18
62,(주)SH에너지화학,2360,2020/12,0.0,0.0,-61.9,30.38,-8.39,0.0,1.395,32.845
63,(주)SH에너지화학,2360,2021/12,0.0,0.0,5.7,30.4,0.25,167.89,1.4100000000000001,0.0
64,(주)SH에너지화학,2360,2022/12,134.88,196.29,16.8,31.94,0.48,117.365,1.585,0.0
65,(주)SIMPAC,9160,2007/12,0.0,0.0,519.0,82.7,10.57,6.6,1.205,6.89
66,(주)SIMPAC,9160,2008/12,-23.8,108.08,1024.0,79.16,6.77,4.36,1.23,22.534999999999997
67,(주)SIMPAC,9160,2009/12,0.0,0.0,555.0,69.88,9.55,6.265000000000001,0.8400000000000001,6.665
68,(주)SIMPAC,9160,2010/12,83.91,49.82,768.0,85.41,11.85,7.62,0.855,4.83
69,(주)SIMPAC,9160,2011/12,26.96,21.75,925.0,84.02,12.7,8.32,1.1600000000000001,9.7
70,(주)SIMPAC,9160,2012/12,-7.88,-22.78,714.0,69.63,11.18,8.265,1.07,14.335
71,(주)SIMPAC,9160,2013/12,-6.32,3.93,742.0,73.34,11.47,9.754999999999999,0.96,15.995000000000001
72,(주)SIMPAC,9160,2014/12,-26.52,-28.56,530.0,74.3,6.59,17.945,0.915,6.3100000000000005
73,(주)SIMPAC,9160,2015/12,22.48,14.79,608.0,82.25,7.88,9.47,0.855,17.564999999999998
74,(주)SIMPAC,9160,2016/12,10.95,-1.54,603.0,73.81,8.82,9.06,0.665,4.885
75,(주)SIMPAC,9160,2017/12,-50.36,-20.32,509.0,58.27,5.07,18.695,0.6000000000000001,0.0
76,(주)SIMPAC,9160,2018/12,-12.89,436.6,1678.0,56.71,3.33,1.685,0.26,2.8950000000000005
77,(주)SIMPAC,9160,2019/12,9.33,-86.29,157.0,53.93,2.59,18.095,0.5,4.609999999999999
78,(주)SIMPAC,9160,2020/12,-30.1,259.84,586.0,58.9,2.13,5.795,0.355,351.345
79,(주)SIMPAC,9160,2021/12,1266.33,166.06,1621.0,65.23,17.36,6.17,0.8500000000000001,8.785
80,(주)SIMPAC,9160,2022/12,11.79,-16.18,1381.0,60.93,17.69,9.469999999999999,0.8899999999999999,19.65
82,(주)SNT에너지,100840,2009/12,0.0,0.0,5273.0,72.09,24.09,5.0600000000000005,1.075,5.19
83,(주)SNT에너지,100840,2010/12,-90.64,-90.96,485.0,51.69,1.93,63.245,1.2650000000000001,0.0
84,(주)SNT에너지,100840,2011/12,0.0,0.0,-648.0,72.18,-3.38,0.0,0.765,0.0
85,(주)SNT에너지,100840,2012/12,0.0,0.0,1298.0,59.73,6.56,15.044999999999998,0.765,5.13
86,(주)SNT에너지,100840,2013/12,11.05,78.15,2285.0,57.28,8.37,7.715,0.65,6.205
87,(주)SNT에너지,100840,2014/12,-18.01,-30.42,1590.0,46.6,5.68,10.425,0.585,0.0
88,(주)SNT에너지,100840,2015/12,146.18,139.96,3815.0,36.64,13.04,6.27,0.755,76.875
89,(주)SNT에너지,100840,2016/12,-96.48,-93.86,234.0,51.45,0.47,99.35,0.7250000000000001,4.71
