Symbol,PER(배),PBR(배),"배당수익률(보통주,현금+주식)(%)",영업이익증가율(전년동기)(%),영업이익증가율(3년평균)(%),"수익률 (현금배당반영,3개월)(%)","수익률 (현금배당반영,12개월)(%)",ROE(영업이익)(%),부채비율(%),순매수강세,value,growth,momentum,quality,label
A005380,5.68,0.5,4.64,47.03,39.65,17.26,15.94,11.32,181.36,0.9529682762723026,A,B,D,B,ABDB
A105560,4.54,0.4,6.08,-7.52,7.88,-10.62,-12.15,11.52,1312.43,0.08255741984569957,A,B,D,B,ABDB
A018260,8.65,1.16,2.6,13.36,-2.56,-9.99,-16.77,11.52,41.17,0.013055883446265416,A,B,D,B,ABDB
A090430,70.6,1.98,0.49,-37.61,-20.59,-22.12,-29.87,4.5,21.39,-1.0448501285667395,A,B,D,B,ABDB
A383220,12.53,5.88,1.11,62.66,,-4.0,10.2,70.72,66.48,0.5835694076686909,A,B,D,B,ABDB
A078930,1.94,0.33,5.71,88.78,35.03,-7.23,-11.9,32.62,105.74,-0.3417074270855417,A,B,D,B,ABDB
A042700,12.31,2.87,1.74,-8.63,101.24,40.07,50.77,30.36,16.75,1.730118334571709,A,B,D,B,ABDB
A022100,20.85,2.3,1.2,,10.37,93.66,113.29,16.73,105.7,0.6650879771790353,A,B,D,B,ABDB
A001440,85.11,2.14,,22.08,13.19,-4.73,-32.49,7.59,83.66,0.23006547986432235,A,B,D,B,ABDB
A079550,16.5,2.16,1.63,84.27,114.67,0.25,-4.08,21.09,222.16,2.0722902315076226,A,B,D,B,ABDB
A011210,20.56,0.39,1.42,106.49,27.67,4.53,-9.74,5.71,102.12,-2.8778381499353793,A,B,D,B,ABDB
A096530,7.8,1.13,2.94,-70.53,106.17,-12.99,-35.44,17.59,20.91,-0.17888179806485108,A,B,D,B,ABDB
A069960,9.58,0.29,2.2,21.4,3.17,-14.94,-28.26,5.54,89.55,-1.5185095181556045,A,B,D,B,ABDB
A003690,6.08,0.32,6.31,-5.4,-8.32,0.53,-2.35,7.2,431.24,0.1367076363073832,A,B,D,B,ABDB
A101490,32.37,2.93,0.57,26.98,13.0,67.17,85.9,8.78,19.1,0.8368697725300277,A,B,D,B,ABDB
A001800,9.34,0.44,4.56,26.65,14.46,7.73,21.3,10.0,23.69,0.2973150498696334,A,B,D,B,ABDB
A008730,,2.71,0.69,,,-12.47,68.49,-1.36,95.66,0.5425070564516129,A,B,D,B,ABDB
A020560,9.43,1.51,,542.43,,-12.79,-34.6,96.83,1780.17,-0.6156042970760622,A,B,D,B,ABDB
A067160,13.68,3.05,1.03,-7.21,30.38,-17.96,-23.8,36.58,92.86,-1.8458709137713438,A,B,D,B,ABDB
A299900,,4.08,,,,-7.83,-41.91,-9.78,57.39,-1.0149131455429157,A,B,D,B,ABDB
A294090,,4.61,,,,26.62,13.49,-58.27,54.21,1.7352248798660979,A,B,D,B,ABDB
A090460,5.38,1.26,1.11,84.66,28.02,-1.47,-10.56,26.63,74.28,-0.801583785990918,A,B,D,B,ABDB
A036930,4.82,1.04,1.82,20.73,62.05,25.39,-26.27,29.0,71.9,-3.988673811983471,A,B,D,B,ABDB
A310210,,12.61,,,,72.61,,-86.77,86.67,-0.19909148463780463,A,B,D,B,ABDB
A033240,,1.23,,,,18.17,8.77,-3.66,47.39,1.161146046132583,A,B,D,B,ABDB
A030190,14.06,2.11,3.03,-1.36,11.73,-12.0,-31.77,22.27,40.82,-0.48127158566817574,A,B,D,B,ABDB
A119860,33.56,1.14,,86.1,4.54,-10.11,-28.0,7.05,60.27,-0.6432557757511395,A,B,D,B,ABDB
A034120,4.13,0.75,2.89,7.69,145.27,-9.83,-26.73,23.28,61.22,0.3617438669036478,A,B,D,B,ABDB
A178320,408.18,1.22,,-23.45,-6.55,-3.35,-5.06,9.87,156.65,-2.830284104571375,A,B,D,B,ABDB
A284740,5.75,0.94,2.38,-26.92,-0.19,-16.53,-24.46,16.57,27.99,-0.6463587053409892,A,B,D,B,ABDB
A417010,,,,-32.2,,,,20.75,158.51,-4.339561530514312,A,B,D,B,ABDB
A001720,,,,,,0.27,3.06,,,-0.027274356094393895,A,B,D,B,ABDB
A290670,22.74,5.46,,360.25,78.62,-3.81,37.82,38.34,26.75,-0.10078182381396762,A,B,D,B,ABDB
A119610,15.41,1.8,2.13,10.56,11.24,19.84,17.93,16.99,39.45,1.385975299236951,A,B,D,B,ABDB
A011000,,3.01,,,,-31.66,-43.05,-20.66,22.81,-0.6319729866331151,A,B,D,B,ABDB
A006730,28.0,0.67,0.78,,9.94,-4.02,-23.93,2.37,152.9,0.16508377928447962,A,B,D,B,ABDB
A036420,,2.91,,,,-17.64,-50.21,-10.3,274.17,0.11474626201989883,A,B,D,B,ABDB
A058650,3.5,0.21,3.7,-36.36,29.88,8.52,2.67,6.69,97.03,0.002808641975308642,A,B,D,B,ABDB
A014830,5.59,0.61,2.46,-0.66,20.38,-20.58,-55.38,15.61,65.19,-1.853801037058525,A,B,D,B,ABDB
A183300,10.29,1.66,2.32,-5.84,17.08,-7.19,-23.06,23.1,50.5,-1.4052229895768698,A,B,D,B,ABDB
A145990,5.97,0.31,3.24,-0.65,0.18,25.41,0.74,5.55,92.66,-0.08546552981861245,A,B,D,B,ABDB
A015540,,91.99,,,,0.0,0.0,-34.84,647.42,,A,B,D,B,ABDB
A389260,10.79,2.76,,-45.42,,5.49,,29.9,199.56,0.02599980152823261,A,B,D,B,ABDB
A281820,5.57,0.71,1.69,15.81,7.14,1.74,-6.28,14.88,13.46,0.09265660848901999,A,B,D,B,ABDB
A060150,17.59,1.07,,-20.6,3.91,-5.52,-23.12,9.78,60.96,-0.40051716670553533,A,B,D,B,ABDB
A102940,146.58,1.86,,-57.94,,-7.92,-3.58,1.22,87.28,-0.08826924877013802,A,B,D,B,ABDB
A237880,28.9,1.45,1.23,28.62,-1.3,20.77,9.26,10.0,28.11,1.5466070647140837,A,B,D,B,ABDB
A267980,28.77,0.77,2.27,-30.88,-10.73,-5.84,-28.1,12.21,96.2,-0.504272558688414,A,B,D,B,ABDB
A108670,,0.4,0.64,-78.79,-39.89,9.19,-27.84,1.82,218.45,1.6921210491072054,A,B,D,B,ABDB
A126560,,0.37,3.59,28.41,-38.44,8.87,1.15,1.12,8.32,-0.26365464646263514,A,B,D,B,ABDB
A014620,9.66,0.8,0.75,,56.57,5.94,37.85,5.91,11.74,0.5658039377596573,A,B,D,B,ABDB
A029530,7.24,0.33,4.64,,,2.54,8.24,-0.23,8.89,0.06453310966174493,A,B,D,B,ABDB
A084010,2.13,0.33,7.19,6.73,72.41,6.46,-30.99,28.36,52.86,0.8027636755654637,A,B,D,B,ABDB
A016800,59.49,0.64,3.62,13.98,9.14,-7.36,-16.41,6.73,15.19,0.02322144627168281,A,B,D,B,ABDB
A053030,29.48,1.82,,31.05,15.07,-3.41,-28.44,9.2,55.19,-0.2220390217092608,A,B,D,B,ABDB
A008350,8.93,0.9,,,,-0.41,-16.09,-0.92,30.84,1.1113837267624442,A,B,D,B,ABDB
A058430,8.51,0.56,2.72,-73.32,56.47,46.59,3.25,11.48,61.59,0.009986798679867986,A,B,D,B,ABDB
A011500,18.19,1.02,1.2,-74.77,-27.55,72.8,19.36,3.03,47.73,-0.4224330969328162,A,B,D,B,ABDB
A036030,21.85,1.15,,343.52,12.44,-30.6,-1.12,6.78,76.44,0.22531732622690107,A,B,D,B,ABDB
A226950,,5.16,,,,-12.01,0.71,-52.27,100.37,-0.8257501259204183,A,B,D,B,ABDB
A104700,3.3,0.31,4.93,17.63,115.07,1.19,-19.88,16.06,18.68,-0.12198584499963731,A,B,D,B,ABDB
A001460,8.71,0.6,0.82,-5.19,2.68,14.92,1.94,5.08,29.69,0.08451289851415655,A,B,D,B,ABDB
A081000,,0.59,1.81,-64.02,-38.14,1.07,-24.27,0.62,13.51,0.17494233079269914,A,B,D,B,ABDB
A314130,,2.86,,,,6.74,-17.08,-43.58,14.91,-4.0851466310129,A,B,D,B,ABDB
A103590,8.13,0.57,2.45,54.35,40.22,42.94,24.19,9.43,143.41,0.45882596664644343,A,B,D,B,ABDB
A206560,,5.78,,,,-23.64,-36.91,-4.19,59.49,-0.544933212889468,A,B,D,B,ABDB
A084690,8.92,0.39,3.49,-11.79,-2.57,-2.62,-18.48,9.44,158.2,-0.0773814159981307,A,B,D,B,ABDB
A001080,14.05,0.35,1.16,-83.32,,60.61,127.71,0.09,11.09,0.3359527281098918,A,B,D,B,ABDB
A036890,6.51,1.31,2.28,162.2,30.37,-2.83,-10.44,35.09,92.22,0.18386277598814926,A,B,D,B,ABDB
A048870,14.31,1.65,,-1.58,0.62,-11.27,-22.44,0.78,32.45,-0.030234465813710282,A,B,D,B,ABDB
A063170,69.01,2.44,0.57,-60.93,,-39.79,-41.31,7.29,56.52,0.32597804872266956,A,B,D,B,ABDB
A001520,,0.26,4.0,4.03,,-5.49,-27.94,1.01,25.53,-0.0662338426534335,A,B,D,B,ABDB
A064290,10.71,2.48,1.45,-29.67,60.25,7.8,-25.59,32.82,72.98,-0.37297261749159455,A,B,D,B,ABDB
A004250,8.69,0.71,1.72,-16.94,5.78,-7.29,-38.35,7.03,53.09,-0.0407363425411119,A,B,D,B,ABDB
A032820,57.8,2.04,,-33.74,,10.95,-35.8,5.52,69.7,-0.9036711840682063,A,B,D,B,ABDB
A094480,30.06,1.41,1.08,9.19,-0.2,-26.46,-32.05,7.67,193.67,-0.542507403751234,A,B,D,B,ABDB
A150840,,14.79,,,,0.0,0.0,-11.59,85.47,,A,B,D,B,ABDB
A239890,19.28,5.13,,31.47,,44.14,-9.54,20.1,119.88,3.907450464593322,A,B,D,B,ABDB
A011690,,1.15,,,,91.46,4.67,2.1,53.46,0.17774449082704508,A,B,D,B,ABDB
A068290,14.72,1.38,0.83,,,-16.23,-21.73,-0.45,20.44,-0.08306756756756757,A,B,D,B,ABDB
A095570,29.77,0.73,4.72,56.95,68.93,-25.16,-26.26,20.83,309.37,0.3763798529992017,A,B,D,B,ABDB
