회계년도,회사명,거래소코드,정상영업이익증가율(IFRS연결),순이익증가율(IFRS연결),1주당순이익(IFRS연결)(원),부채비율(IFRS연결),매출액정상영업이익률(IFRS연결),PER(최고)(IFRS),PER(최저)(IFRS),PBR(최고)(IFRS),PBR(최저)(IFRS),PCR(최고)(IFRS),PCR(최저)(IFRS)
2007/12,(주)DB하이텍,990,0.0,0.0,-1151.0,319.3,-2.62,0.0,0.0,1.11,0.39,0.0,0.0
2008/12,(주)DB하이텍,990,0.0,0.0,-8904.0,342.61,1.8,0.0,0.0,0.57,0.13,0.0,0.0
2009/12,(주)DB하이텍,990,0.0,0.0,-5481.0,348.79,-11.01,0.0,0.0,0.81,0.2,5.02,1.24
2010/12,(주)DB하이텍,990,0.0,0.0,-5072.0,247.03,-61.04,0.0,0.0,1.71,0.72,9.28,3.88
2011/12,(주)DB하이텍,990,0.0,0.0,-2541.0,289.22,-7.81,0.0,0.0,3.66,1.21,13.09,4.32
2012/12,(주)DB하이텍,990,0.0,0.0,-780.0,298.0,-2.64,0.0,0.0,2.49,1.35,7.23,3.92
2013/12,(주)DB하이텍,990,0.0,0.0,-2066.0,416.9,-1.95,0.0,0.0,3.25,1.79,14.01,7.73
2014/12,(주)DB하이텍,990,0.0,0.0,-1915.0,715.95,8.03,0.0,0.0,5.25,2.02,8.22,3.17
2015/12,(주)DB하이텍,990,174.29,0.0,3112.0,287.57,18.75,6.74,1.47,3.53,0.77,5.71,1.25
2016/12,(주)DB하이텍,990,37.98,-30.29,2042.0,188.6,22.3,10.6,5.92,2.75,1.54,3.78,2.11
2017/12,(주)DB하이텍,990,-16.95,24.71,2546.0,118.07,21.07,14.03,6.76,2.58,1.24,5.73,2.76
2018/12,(주)DB하이텍,990,-21.09,-21.19,2002.0,91.0,16.88,9.74,4.68,1.84,0.88,5.07,2.44
2019/12,(주)DB하이텍,990,60.45,20.51,2410.0,68.91,22.45,10.6,3.67,2.12,0.73,7.99,2.76
2020/12,(주)DB하이텍,990,32.02,58.67,3822.0,48.33,25.57,14.05,3.9,3.07,0.85,7.5,2.08
2021/12,(주)DB하이텍,990,66.76,90.87,7292.0,40.13,32.86,11.12,6.84,3.3,2.03,9.01,5.54
2022/12,(주)DB하이텍,990,92.62,76.35,12858.0,29.57,45.89,6.81,2.77,2.43,0.99,5.22,2.13
2007/12,(주)HJ중공업,97230,,,,,,,,,,,
2008/12,(주)HJ중공업,97230,0.0,0.0,1331.0,282.03,10.75,54.78,8.64,1.65,0.26,0.0,0.0
2009/12,(주)HJ중공업,97230,6.7,-18.02,1081.0,292.8,10.61,39.7,18.84,1.0,0.47,0.0,0.0
2010/12,(주)HJ중공업,97230,-69.33,0.0,-1512.0,284.77,3.78,0.0,0.0,1.19,0.49,9.47,3.92
2011/12,(주)HJ중공업,97230,-9.82,0.0,-2007.0,276.93,3.73,0.0,0.0,1.13,0.38,0.0,0.0
2012/12,(주)HJ중공업,97230,-50.99,0.0,-1095.0,283.85,2.08,88.04,39.68,0.62,0.28,0.0,0.0
2013/12,(주)HJ중공업,97230,0.0,0.0,-2931.0,307.77,-2.75,0.0,0.0,0.52,0.26,0.0,0.0
2014/12,(주)HJ중공업,97230,0.0,0.0,-3674.0,311.31,-5.75,0.0,0.0,0.68,0.2,0.0,0.0
2015/12,(주)HJ중공업,97230,0.0,0.0,-2551.0,332.17,-2.55,0.0,0.0,0.55,0.26,6.86,3.27
2016/12,(주)HJ중공업,97230,0.0,0.0,-3216.0,487.19,-2.82,0.0,0.0,0.55,0.33,6.28,3.81
2017/12,(주)HJ중공업,97230,0.0,0.0,-2622.0,628.81,-4.76,0.0,0.0,0.99,0.54,1.5,0.82
2018/12,(주)HJ중공업,97230,0.0,0.0,0.0,0.0,3.63,0.0,0.0,0.0,0.0,2.34,0.95
2019/12,(주)HJ중공업,97230,35.93,0.0,5185.0,908.28,5.15,0.0,0.0,3.63,0.32,6.32,0.56
2020/12,(주)HJ중공업,97230,-38.42,-74.39,940.0,585.57,3.04,11.15,3.91,2.68,0.94,3.38,1.18
2021/12,(주)HJ중공업,97230,0.0,0.0,-1679.0,452.13,-6.39,0.0,0.0,2.03,1.3,0.0,0.0
2022/12,(주)HJ중공업,97230,0.0,0.0,-602.0,566.95,0.37,0.0,0.0,1.84,0.7,8.4,3.22
2007/12,(주)MH에탄올,23150,0.0,0.0,496.0,71.65,18.07,19.13,7.83,2.01,0.82,22.49,9.21
2008/12,(주)MH에탄올,23150,0.0,0.0,-923.0,226.64,-3.44,0.0,0.0,1.8,0.77,5.98,2.56
2009/12,(주)MH에탄올,23150,0.0,0.0,188.0,191.56,7.63,40.34,26.84,1.18,0.79,9.04,6.02
2010/12,(주)MH에탄올,23150,-29.87,0.0,-225.0,189.26,6.26,8.86,3.97,0.77,0.34,6.82,3.06
2011/12,(주)MH에탄올,23150,-82.51,0.0,-611.0,214.54,1.35,8.42,3.75,0.5,0.22,6.71,2.99
2012/12,(주)MH에탄올,23150,803.71,0.0,59.0,238.69,9.12,16.3,7.08,0.71,0.31,15.03,6.53
